source_text	target_text
mid: Qu'est-ce que forthem?	project
mid: Bonjour, c'est quoi le but du projet forthem?	project
mid: Quelles sont les universités partenaires?	universities
mid: Salut, quelles universités font partie de forthem?	universities
mid: Quels sont les partenaires de forthem?	partners
mid: Bonjour, quels sont les partenaires du projet?	partners
mid: Comment participer au projet forthem?	involve
mid: Salut, comment puis-je participer au projet?	involve
mid: Qui puis-je contacter?	contact
mid: Bonjour, où puis-je avoir plus d'informations?	contact
mid: Qu'est-ce que forthem digital academy?	fda
mid: Salut j'aimerais savoir ce qu'est la plateforme d'e-learning forthem?	fda
mid: Comment est structurée l'académie digitale forthem?	structure
mid: Quelle est la structure de l'académie digitale de forthem?	structure
mid: Comment je m'inscris à un cours?	enrollment
mid: J'aimerais savoir comment m'inscrire aux cours et activités	enrollment
mid: Quelle reconnaissance j'obtiens après la complétion d'un cours?	certificate
mid: Qu'est-ce que j'obtiens après un cours?	certificate
mid: Bonjour je cherche une activité spécifique	activities
mid: Où puis-je trouver les activités?	activities
mid: Bonjour je cherche mes devoirs	assignments
mid: Où puis-je trouver les devoirs qui m'ont été donnés?	assignments
mid: Je cherche des cours	courses
mid: Bonjour où puis-je trouver les cours?	courses
mid: Bonjour je cherche un sujet précis sur le forum	forum
mid: où est le forum?	forum
mid: Bonjour, je cherche mes notes en business	grades
mid: Salut, tu saurais où je peux voir mes notes?	grades
mid: Quelles données sont collectées?	data
mid: Mes données sont-elles utilisées?	data
mid: What is forthem?	project
mid: Hello, what is the purpose of the forthem project?	project
mid: What are the partner universities?	universities
mid: Hi, which universities are part of forthem?	universities
mid: Who are forthem's partners?	partners
mid: Hello, who are the project partners?	partners
mid: How to participate in the forthem project?	involve
mid: Hi, how can I participate in the project?	involve
mid: Who can I contact?	contact
mid: Hello, where can I get more information?	contact
mid: What is forthem digital academy?	fda
mid: Hi I would like to know what the e-learning platform forthem is?	fda
mid: How is the forthem digital academy structured?	structure
mid: What is the structure of the forthem digital academy?	structure
mid: How do I sign up for a course?	enrollment
mid: I would like to know how to register for courses and activities	enrollment
mid: What recognition do I get after completing a course?	certificate
mid: What do I get after a class?	certificate
mid: Hi I'm looking for a specific activity	activities
mid: Where can I find the activities?	activities
mid: Hello I'm looking for my homework or assignments	assignments
mid: Where can I find the assignments I have been given?	assignments
mid: I am looking for courses	courses
mid: Hello where can I find the courses?	courses
mid: Hello I am looking for a specific topic on the forum	forum
mid: where is the forum?	forum
mid: Hi, I'm looking for my business grades	grades
mid: Hey, do you know where I can see my notes?	grades
mid: What data is collected?	data
mid: Is my data used?	data
mid: Mikä heitä odottaa?	project
mid: Hei, mikä on Forthem-projektin tarkoitus?	project
mid: Mitkä ovat kumppanuusyliopistot?	universities
mid: Hei! Mitkä yliopistot kuuluvat Fortheriin?	universities
mid: Keitä ovat heidän kumppaninsa?	partners
mid: Hei, keitä projektin yhteistyökumppanit ovat?	partners
mid: Miten osallistua hankkeeseen?	involve
mid: Hei, miten voin osallistua projektiin?	involve
mid: Keneen voin ottaa yhteyttä?	contact
mid: Haloo, mistä saan lisätietoja?	contact
mid: Mikä on heille digitaalinen akatemia?	fda
mid: Hei! Haluaisin tietää, mikä on heidän verkko-oppimisalustansa?	fda
mid: Miten heidän digitaalinen akatemiansa on rakennettu?	structure
mid: Mikä on heidän digitaalisen akatemiansa rakenne?	structure
mid: Miten ilmoittaudun kurssille?	enrollment
mid: Haluaisin tietää, miten ilmoittautua kursseille ja aktiviteetteihin	enrollment
mid: Minkä tunnustuksen saan kurssin suorittamisen jälkeen?	certificate
mid: Mitä saan tunnin jälkeen?	certificate
mid: Hei Etsin tiettyä aktiviteettia	activities
mid: Mistä löydän aktiviteetit?	activities
mid: Hei Etsin kotitehtäviäni	assignments
mid: Mistä löydän minulle annetut kotitehtävät?	assignments
mid: Etsin kursseja	courses
mid: Hei, mistä löydän kurssit?	courses
mid: Hei Etsin tiettyä aihetta foorumilta	forum
mid: missä foorumi on?	forum
mid: Hei, etsin muistiinpanojani liikeasioissa	grades
mid: Hei, tiedätkö missä voin nähdä muistiinpanoni?	grades
mid: What data is collected?	data
mid: Is my data used?	data
mid: Was ist für sie?	project
mid: Hallo, was ist der Zweck des Projekts?	project
mid: Was sind die Partneruniversitäten?	universities
mid: Hallo, zu welchen Universitäten gehören sie?	universities
mid: Wer sind ihre Partner?	partners
mid: Hallo, wer sind die Projektpartner?	partners
mid: Wie kann man sich an dem Projekt beteiligen?	involve
mid: Hallo, wie kann ich am Projekt teilnehmen?	involve
mid: An wen kann ich mich wenden?	contact
mid: Hallo, wo erhalte ich weitere Informationen?	contact
mid: Was istfürdie digitale Akademie?	fda
mid: Hallo, ich möchte wissen, was die forthem e-Learning-Plattform ist?	fda
mid: Wie ist die für sie eingerichtete digitale Akademie aufgebaut?	structure
mid: Wie sieht die Struktur der digitalen Akademie aus?	structure
mid: Wie melde ich mich für einen Kurs an?	enrollment
mid: Ich möchte wissen, wie ich mich für Kurse und Aktivitäten anmelden kann	enrollment
mid: Welche Anerkennung erhalte ich nach Abschluss eines Kurses?	certificate
mid: Was bekomme ich nach dem Unterricht?	certificate
mid: Hallo, ich suche eine bestimmte Aktivität	activities
mid: Wo finde ich die Aktivitäten?	activities
mid: Hallo, ich suche meine Hausaufgaben	assignments
mid: Wo finde ich die Hausaufgaben, die mir gegeben wurden?	assignments
mid: Ich suche nach Kursen	courses
mid: Hallo wo finde ich die Kurse?	courses
mid: Hallo, ich suche nach einem bestimmten Thema im Forum	forum
mid: wo ist das Forum?	forum
mid: Hallo, ich suche meine Notizen im Geschäft	grades
mid: Hey, weißt du, wo ich meine Notizen sehen kann?	grades
mid: Welche Daten werden erhoben?	data
mid: Werden meine Daten verwendet?	data
mid: A cosa servono forthem?	project
mid: Ciao, qual è lo scopo del progetto forthem?	project
mid: Quali sono le università partner?	universities
mid: Ciao, di quali università fanno parte per loro?	universities
mid: Chi sono per i loro soci?	partners
mid: Salve, chi sono i partner del progetto?	partners
mid: Come partecipare al progetto forthem?	involve
